what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1407121756731
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1407121756743
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1407121756781
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1407121756782
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1407121756782
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1407121756783
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1407121756784
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1407121756831
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1407121756831
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1407121756832
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1407121756877
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1407121756938
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1407121756939
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1407121756940
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1407121756990
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1407121757046
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1407121757048
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1407121757049
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1407121757049
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1407121757097
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1407121757099
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1407121757100
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1407121757101
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1407121757102
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1407121757103
os,sysinfo,,,"macosx",1407121757109
arch,sysinfo,,,"x86_64",1407121757109
ws,sysinfo,,,"cocoa",1407121757109
locale,sysinfo,,,"en_US",1407121757109
processors,sysinfo,,,"2",1407121757109
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1407121757109
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1407121757109
java.specification.name,sysinfo,,,"Java Platform API Specification",1407121757109
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407121757109
java.specification.version,sysinfo,,,"1.6",1407121757109
java.vendor,sysinfo,,,"Apple Inc.",1407121757109
java.version,sysinfo,,,"1.6.0_65",1407121757109
java.vm.info,sysinfo,,,"mixed mode",1407121757109
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1407121757109
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1407121757109
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407121757109
java.vm.specification.version,sysinfo,,,"1.0",1407121757109
java.vm.vendor,sysinfo,,,"Apple Inc.",1407121757109
java.vm.version,sysinfo,,,"20.65-b04-462",1407121757109
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1407121757149
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1407121757282
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1407121757387
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1407121757430
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1407121757467
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1407121757572
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1407121757573
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1407121757730
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1407121758006
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1407121758174
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1407121759634
started,bundle,com.android.ide.eclipse.base,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.base",1407121759710
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1407121759928
